Academic Year,LEA Number,LEA Name,School Number,School Name,AP Subject Group,Students Tested,Number of Exams,Exams per Student,Mean Grade per Exam,Exams with Grades 3-5,% Exams with Grades 3-5,Create Date 
2022,01,Allegany,0405,Fort Hill High,All Subjects,28,54,1.9,2.65,24,44.4,20221114
2022,01,Allegany,0405,Fort Hill High,All English,13,14,1.1,2.36,4,28.6,20221114
2022,01,Allegany,0405,Fort Hill High,All History & Social Science,22,39,1.8,2.77,20,51.3,20221114
2022,01,Allegany,0405,Fort Hill High,All Math & Computer Science,*,*,*,*,*,*,20221114
2022,01,Allegany,0601,Center for Career & Technical Education,All Subjects,11,14,1.3,1.57,3,21.4,20221114
2022,01,Allegany,0601,Center for Career & Technical Education,All English,*,*,*,*,*,*,20221114
2022,01,Allegany,0601,Center for Career & Technical Education,All History & Social Science,*,*,*,*,*,*,20221114
2022,01,Allegany,0601,Center for Career & Technical Education,All Math & Computer Science,*,*,*,*,*,*,20221114
2022,01,Allegany,0601,Center for Career & Technical Education,All Sciences,*,*,*,*,*,*,20221114
2022,01,Allegany,0606,Allegany High,All Subjects,51,116,2.3,2.62,56,48.3,20221114
2022,01,Allegany,0606,Allegany High,All Arts,*,*,*,*,*,*,20221114
2022,01,Allegany,0606,Allegany High,All English,19,22,1.2,2.77,12,54.5,20221114
2022,01,Allegany,0606,Allegany High,All History & Social Science,41,61,1.5,2.52,28,45.9,20221114
2022,01,Allegany,0606,Allegany High,All Math & Computer Science,*,*,*,*,*,*,20221114
2022,01,Allegany,0606,Allegany High,All Sciences,23,25,1.1,2.56,10,40,20221114
2022,01,Allegany,0606,Allegany High,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,01,Allegany,2404,Mountain Ridge High School,All Subjects,46,147,3.2,2.72,82,55.8,20221114
2022,01,Allegany,2404,Mountain Ridge High School,All English,24,26,1.1,2.69,13,50,20221114
2022,01,Allegany,2404,Mountain Ridge High School,All History & Social Science,43,83,1.9,2.53,41,49.4,20221114
2022,01,Allegany,2404,Mountain Ridge High School,All Math & Computer Science,11,14,1.3,3.36,12,85.7,20221114
2022,01,Allegany,2404,Mountain Ridge High School,All Sciences,16,17,1.1,3.06,11,64.7,20221114
2022,01,Allegany,2404,Mountain Ridge High School,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,01,Allegany,A,All Allegany Schools,All Subjects,136,331,2.4,2.63,165,49.8,20221114
2022,01,Allegany,A,All Allegany Schools,All Arts,*,*,*,*,*,*,20221114
2022,01,Allegany,A,All Allegany Schools,All English,63,69,1.1,2.55,31,44.9,20221114
2022,01,Allegany,A,All Allegany Schools,All History & Social Science,107,184,1.7,2.57,89,48.4,20221114
2022,01,Allegany,A,All Allegany Schools,All Math & Computer Science,18,22,1.2,3.18,17,77.3,20221114
2022,01,Allegany,A,All Allegany Schools,All Sciences,43,46,1.1,2.61,21,45.7,20221114
2022,01,Allegany,A,All Allegany Schools,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,All Subjects,139,422,3,2.4,185,43.8,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,All Arts,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,All English,79,119,1.5,2.57,56,47.1,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,All History & Social Science,110,183,1.7,2.54,96,52.5,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,All Math & Computer Science,57,69,1.2,1.71,11,15.9,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,All Sciences,30,36,1.2,2.08,11,30.6,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,1323,North County High,All Subjects,202,832,4.1,2.54,408,49,20221114
2022,02,Anne Arundel,1323,North County High,All Arts,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,1323,North County High,All English,106,133,1.3,2.76,77,57.9,20221114
2022,02,Anne Arundel,1323,North County High,All History & Social Science,178,332,1.9,2.64,181,54.5,20221114
2022,02,Anne Arundel,1323,North County High,All Math & Computer Science,106,196,1.8,2.36,83,42.3,20221114
2022,02,Anne Arundel,1323,North County High,All Sciences,91,122,1.3,2.34,44,36.1,20221114
2022,02,Anne Arundel,1323,North County High,All World Languages & Cultures,42,42,1,2.38,17,40.5,20221114
2022,02,Anne Arundel,2013,Severna Park High,All Subjects,311,1308,4.2,3.08,892,68.2,20221114
2022,02,Anne Arundel,2013,Severna Park High,All Arts,18,18,1,3.89,*,>= 95.0,20221114
2022,02,Anne Arundel,2013,Severna Park High,All English,154,216,1.4,3.41,175,81,20221114
2022,02,Anne Arundel,2013,Severna Park High,All History & Social Science,287,575,2,3,379,65.9,20221114
2022,02,Anne Arundel,2013,Severna Park High,All Math & Computer Science,166,238,1.4,3.21,172,72.3,20221114
2022,02,Anne Arundel,2013,Severna Park High,All Sciences,142,211,1.5,2.8,118,55.9,20221114
2022,02,Anne Arundel,2013,Severna Park High,All World Languages & Cultures,49,50,1,2.72,30,60,20221114
2022,02,Anne Arundel,2023,Northeast High,All Subjects,90,292,3.2,2.77,162,55.5,20221114
2022,02,Anne Arundel,2023,Northeast High,All Arts,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2023,Northeast High,All English,55,78,1.4,2.87,49,62.8,20221114
2022,02,Anne Arundel,2023,Northeast High,All History & Social Science,75,134,1.8,2.69,69,51.5,20221114
2022,02,Anne Arundel,2023,Northeast High,All Math & Computer Science,30,47,1.6,2.68,23,48.9,20221114
2022,02,Anne Arundel,2023,Northeast High,All Sciences,19,22,1.2,2.91,12,54.5,20221114
2022,02,Anne Arundel,2023,Northeast High,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2233,Anne Arundel Evening High,All Subjects,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2233,Anne Arundel Evening High,All English,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2233,Anne Arundel Evening High,All History & Social Science,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2233,Anne Arundel Evening High,All Sciences,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2233,Anne Arundel Evening High,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2273,Chesapeake High,All Subjects,134,499,3.7,2.8,293,58.7,20221114
2022,02,Anne Arundel,2273,Chesapeake High,All Arts,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2273,Chesapeake High,All English,78,120,1.5,3.11,85,70.8,20221114
2022,02,Anne Arundel,2273,Chesapeake High,All History & Social Science,102,209,2,2.84,124,59.3,20221114
2022,02,Anne Arundel,2273,Chesapeake High,All Math & Computer Science,71,102,1.4,2.52,51,50,20221114
2022,02,Anne Arundel,2273,Chesapeake High,All Sciences,46,54,1.2,2.37,22,40.7,20221114
2022,02,Anne Arundel,2273,Chesapeake High,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,2363,Broadneck High,All Subjects,285,1020,3.6,3.07,673,66,20221114
2022,02,Anne Arundel,2363,Broadneck High,All Arts,42,43,1,2.98,26,60.5,20221114
2022,02,Anne Arundel,2363,Broadneck High,All English,91,112,1.2,3.58,93,83,20221114
2022,02,Anne Arundel,2363,Broadneck High,All History & Social Science,220,470,2.1,3.04,309,65.7,20221114
2022,02,Anne Arundel,2363,Broadneck High,All Math & Computer Science,155,240,1.5,2.98,145,60.4,20221114
2022,02,Anne Arundel,2363,Broadneck High,All Sciences,104,133,1.3,2.92,82,61.7,20221114
2022,02,Anne Arundel,2363,Broadneck High,All World Languages & Cultures,22,22,1,3.18,18,81.8,20221114
2022,02,Anne Arundel,3013,Arundel High,All Subjects,270,1096,4.1,3,720,65.7,20221114
2022,02,Anne Arundel,3013,Arundel High,All Arts,16,17,1.1,3.06,13,76.5,20221114
2022,02,Anne Arundel,3013,Arundel High,All English,162,236,1.5,3.04,157,66.5,20221114
2022,02,Anne Arundel,3013,Arundel High,All History & Social Science,181,398,2.2,3.05,261,65.6,20221114
2022,02,Anne Arundel,3013,Arundel High,All Math & Computer Science,157,265,1.7,2.94,175,66,20221114
2022,02,Anne Arundel,3013,Arundel High,All Sciences,123,148,1.2,2.87,91,61.5,20221114
2022,02,Anne Arundel,3013,Arundel High,All World Languages & Cultures,28,32,1.1,3.25,23,71.9,20221114
2022,02,Anne Arundel,3063,Crofton High School,All Subjects,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,3063,Crofton High School,All History & Social Science,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,3323,Meade High,All Subjects,130,250,1.9,2.16,88,35.2,20221114
2022,02,Anne Arundel,3323,Meade High,All Arts,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,3323,Meade High,All English,31,40,1.3,2.03,11,27.5,20221114
2022,02,Anne Arundel,3323,Meade High,All History & Social Science,94,129,1.4,2.16,44,34.1,20221114
2022,02,Anne Arundel,3323,Meade High,All Math & Computer Science,29,34,1.2,1.74,9,26.5,20221114
2022,02,Anne Arundel,3323,Meade High,All Sciences,22,27,1.2,1.89,5,18.5,20221114
2022,02,Anne Arundel,3323,Meade High,All World Languages & Cultures,16,16,1,3.63,*,>= 95.0,20221114
2022,02,Anne Arundel,3353,Old Mill High,All Subjects,199,512,2.6,2.31,200,39.1,20221114
2022,02,Anne Arundel,3353,Old Mill High,All Arts,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,3353,Old Mill High,All English,97,128,1.3,2.51,64,50,20221114
2022,02,Anne Arundel,3353,Old Mill High,All History & Social Science,153,234,1.5,2.22,85,36.3,20221114
2022,02,Anne Arundel,3353,Old Mill High,All Math & Computer Science,61,80,1.3,2.35,31,38.8,20221114
2022,02,Anne Arundel,3353,Old Mill High,All Sciences,53,59,1.1,2.05,14,23.7,20221114
2022,02,Anne Arundel,3353,Old Mill High,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,4013,Annapolis High,All Subjects,217,642,3,2.73,351,54.7,20221114
2022,02,Anne Arundel,4013,Annapolis High,All Arts,22,25,1.1,3.24,19,76,20221114
2022,02,Anne Arundel,4013,Annapolis High,All English,59,85,1.4,2.51,41,48.2,20221114
2022,02,Anne Arundel,4013,Annapolis High,All History & Social Science,166,360,2.2,2.8,204,56.7,20221114
2022,02,Anne Arundel,4013,Annapolis High,All Math & Computer Science,68,79,1.2,2.34,36,45.6,20221114
2022,02,Anne Arundel,4013,Annapolis High,All Sciences,52,54,1,2.5,22,40.7,20221114
2022,02,Anne Arundel,4013,Annapolis High,All World Languages & Cultures,38,39,1,3.31,29,74.4,20221114
2022,02,Anne Arundel,4023,Southern High,All Subjects,122,533,4.4,2.55,264,49.5,20221114
2022,02,Anne Arundel,4023,Southern High,All Arts,15,18,1.2,2.78,12,66.7,20221114
2022,02,Anne Arundel,4023,Southern High,All English,60,77,1.3,3.04,49,63.6,20221114
2022,02,Anne Arundel,4023,Southern High,All History & Social Science,105,255,2.4,2.59,126,49.4,20221114
2022,02,Anne Arundel,4023,Southern High,All Math & Computer Science,73,124,1.7,2.36,60,48.4,20221114
2022,02,Anne Arundel,4023,Southern High,All Sciences,42,59,1.4,2.07,17,28.8,20221114
2022,02,Anne Arundel,4054,AACPS Virtual Academy,All Subjects,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,4054,AACPS Virtual Academy,All Arts,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,4054,AACPS Virtual Academy,All English,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,4054,AACPS Virtual Academy,All History & Social Science,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,4054,AACPS Virtual Academy,All Sciences,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,4293,South River High,All Subjects,345,1885,5.5,3.09,1272,67.5,20221114
2022,02,Anne Arundel,4293,South River High,All AP Capstone,20,39,2,3.62,*,>= 95.0,20221114
2022,02,Anne Arundel,4293,South River High,All Arts,17,18,1.1,3.61,*,>= 95.0,20221114
2022,02,Anne Arundel,4293,South River High,All English,235,326,1.4,3.33,249,76.4,20221114
2022,02,Anne Arundel,4293,South River High,All History & Social Science,302,635,2.1,3.16,444,69.9,20221114
2022,02,Anne Arundel,4293,South River High,All Math & Computer Science,221,483,2.2,3.04,320,66.3,20221114
2022,02,Anne Arundel,4293,South River High,All Sciences,252,366,1.5,2.73,190,51.9,20221114
2022,02,Anne Arundel,4293,South River High,All World Languages & Cultures,18,18,1,3.17,12,66.7,20221114
2022,02,Anne Arundel,6223,Chesapeake Science Point,All Subjects,44,221,5,2.82,136,61.5,20221114
2022,02,Anne Arundel,6223,Chesapeake Science Point,All English,27,41,1.5,3.41,37,90.2,20221114
2022,02,Anne Arundel,6223,Chesapeake Science Point,All History & Social Science,30,68,2.3,3.22,49,72.1,20221114
2022,02,Anne Arundel,6223,Chesapeake Science Point,All Math & Computer Science,41,81,2,2.37,37,45.7,20221114
2022,02,Anne Arundel,6223,Chesapeake Science Point,All Sciences,24,31,1.3,2.32,13,41.9,20221114
2022,02,Anne Arundel,A,All Anne Arundel Schools,All Subjects,2500,9535,3.8,2.84,5651,59.3,20221114
2022,02,Anne Arundel,A,All Anne Arundel Schools,All AP Capstone,20,39,2,3.62,*,>= 95.0,20221114
2022,02,Anne Arundel,A,All Anne Arundel Schools,All Arts,171,182,1.1,3.18,140,76.9,20221114
2022,02,Anne Arundel,A,All Anne Arundel Schools,All English,1240,1717,1.4,3.04,1144,66.6,20221114
2022,02,Anne Arundel,A,All Anne Arundel Schools,All History & Social Science,2010,3993,2,2.85,2373,59.4,20221114
2022,02,Anne Arundel,A,All Anne Arundel Schools,All Math & Computer Science,1235,2038,1.7,2.75,1153,56.6,20221114
2022,02,Anne Arundel,A,All Anne Arundel Schools,All Sciences,1003,1325,1.3,2.61,642,48.5,20221114
2022,02,Anne Arundel,A,All Anne Arundel Schools,All World Languages & Cultures,235,241,1,3.02,160,66.4,20221114
2022,03,Baltimore County,0172,Woodlawn High,All Subjects,101,195,1.9,1.52,25,12.8,20221114
2022,03,Baltimore County,0172,Woodlawn High,All English,24,26,1.1,2,9,34.6,20221114
2022,03,Baltimore County,0172,Woodlawn High,All History & Social Science,84,129,1.5,1.47,12,9.3,20221114
2022,03,Baltimore County,0172,Woodlawn High,All Math & Computer Science,27,31,1.1,1.06,*,<= 5.0,20221114
2022,03,Baltimore County,0172,Woodlawn High,All Sciences,*,*,*,*,*,*,20221114
2022,03,Baltimore County,0172,Woodlawn High,All World Languages & Cultures,*,*,*,*,*,*,20221114
2022,03,Baltimore County,0174,Catonsville High,All Subjects,172,578,3.4,3.2,412,71.3,20221114
