Year,LEA,LEA Name,School,School Name,Rating,Total Points Earned Percentage,Percentile Rank Elementary,Percentile Rank Middle,Percentile Rank High,Create Date
2022,01,Allegany,0301,Flintstone Elementary,4,62,53,na,na,20230303
2022,01,Allegany,0401,South Penn Elementary,3,49,24,na,na,20230303
2022,01,Allegany,0402,John Humbird Elementary,3,53,32,na,na,20230303
2022,01,Allegany,0405,Fort Hill High,3,46,na,na,23,20230303
2022,01,Allegany,0406,Washington Middle,3,47,na,40,na,20230303
2022,01,Allegany,0502,Northeast Elementary,5,75,80,na,na,20230303
2022,01,Allegany,0504,Braddock Middle,2,42,na,31,na,20230303
2022,01,Allegany,0601,Center for Career & Technical Education,4,60,na,na,58,20230303
2022,01,Allegany,0603,West Side Elementary,3,56,38,na,na,20230303
2022,01,Allegany,0606,Allegany High,3,55,na,na,43,20230303
2022,01,Allegany,0701,Cresaptown Elementary,4,72,73,na,na,20230303
2022,01,Allegany,0702,Bel Air Elementary,5,76,82,na,na,20230303
2022,01,Allegany,0801,Westernport Elementary,4,67,63,na,na,20230303
2022,01,Allegany,0802,Westmar Middle,2,38,na,23,na,20230303
2022,01,Allegany,1001,George's Creek Elementary,3,54,34,na,na,20230303
2022,01,Allegany,1101,Frost Elementary,5,80,92,na,na,20230303
2022,01,Allegany,1301,Mount Savage Middle,4,70,na,86,na,20230303
2022,01,Allegany,1302,Mt. Savage Elementary,4,62,53,na,na,20230303
2022,01,Allegany,2404,Mountain Ridge High School,3,54,na,na,40,20230303
2022,01,Allegany,2801,Beall Elementary,4,71,72,na,na,20230303
2022,01,Allegany,2901,Cash Valley Elementary,5,76,83,na,na,20230303
2022,01,Allegany,2902,Parkside Elementary,5,78,86,na,na,20230303
2022,02,Anne Arundel,1023,Brooklyn Park Middle,3,47,na,41,na,20230303
2022,02,Anne Arundel,1033,Glen Burnie High,3,50,na,na,31,20230303
2022,02,Anne Arundel,1043,Corkran Middle School,3,46,na,37,na,20230303
2022,02,Anne Arundel,1053,Lindale Middle,3,52,na,54,na,20230303
2022,02,Anne Arundel,1063,Marley Middle,3,46,na,37,na,20230303
2022,02,Anne Arundel,1082,Belle Grove Elementary,3,46,18,na,na,20230303
2022,02,Anne Arundel,1092,Brooklyn Park Elementary,3,47,21,na,na,20230303
2022,02,Anne Arundel,1112,George T. Cromwell Elementary,3,58,43,na,na,20230303
2022,02,Anne Arundel,1122,Freetown Elementary,3,48,22,na,na,20230303
2022,02,Anne Arundel,1132,Glendale Elementary,4,60,48,na,na,20230303
2022,02,Anne Arundel,1142,Hilltop Elementary,3,47,21,na,na,20230303
2022,02,Anne Arundel,1152,Linthicum Elementary,4,65,59,na,na,20230303
2022,02,Anne Arundel,1162,Marley Elementary,3,59,46,na,na,20230303
2022,02,Anne Arundel,1172,North Glen Elementary,3,52,30,na,na,20230303
2022,02,Anne Arundel,1182,Oakwood Elementary,3,58,44,na,na,20230303
2022,02,Anne Arundel,1192,Overlook Elementary,3,56,39,na,na,20230303
2022,02,Anne Arundel,1202,Park Elementary,4,63,57,na,na,20230303
2022,02,Anne Arundel,1212,Point Pleasant Elementary,3,59,47,na,na,20230303
2022,02,Anne Arundel,1232,Quarterfield Elementary,4,61,49,na,na,20230303
2022,02,Anne Arundel,1242,Richard Henry Lee Elementary,3,59,45,na,na,20230303
