Year,LEA,LEA Name,School,School Name,Grade Span,Summary Group Title,Indicator Name,Measure Name,Subject Title,Measure Possible Points,Measure Earned Points,Measure Result,Create Date
2022,1,Allegany,301,Flintstone Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,1.17346939,23.5,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,2.55102041,51,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.4744898,2,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,3.08673469,2.5,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1.77419355,35.5,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,6.1175,44.5,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,8.038,61.2,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,9.5,74,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,3.98903498,5.7,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.74283121,9.1,20230303
2022,1,Allegany,301,Flintstone Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,0.92511013,18.5,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,1.49779736,30,20230303
