Academic Year,LEA Number,LEA Name,School Number,School Name,Total HS Completers,Diploma Count ,Diploma Pct,Certificate Count,Certificate Pct,USM Requirements Count,USM Requirements Pct,CTE Requirements Count,CTE Requirements Pct,USM and CTE Requirements Count,USM and CTE Requirements Pct,Met Rigorous Indicator Count,Met Rigorous Indicator Pct,Rigorous Foreign Language Count,Rigorous Foreign Language Pct,Rigorous Math Count,Rigorous Math Pct,Rigorous Science Count,Rigorous Science Pct,Rigorous Tech Ed Count,Rigorous Tech Ed Pct,Rigorous SAT OR ACT Count,Rigorous SAT OR ACT Pct,Rigorous GPA Count,Rigorous GPA Pct,Create Date 
2022,01,Allegany,0405,Fort Hill High,116,*,>= 95.0,*,<= 5.0,57,49.1,*,<= 5.0,6,5.2,20,17.2,61,52.6,53,45.7,21,18.1,13,11.2,10,8.6,68,58.6,20221114
2022,01,Allegany,0601,Center for Career & Technical Education,106,*,>= 95.0,*,<= 5.0,*,<= 5.0,89,84.0,16,15.1,*,<= 5.0,20,18.9,23,21.7,10,9.4,7,6.6,*,<= 5.0,55,51.9,20221114
2022,01,Allegany,0606,Allegany High,186,*,>= 95.0,*,<= 5.0,87,46.8,*,<= 5.0,30,16.1,35,18.8,96,51.6,102,54.8,27,14.5,24,12.9,21,11.3,116,62.4,20221114
2022,01,Allegany,2404,Mountain Ridge High School,156,*,>= 95.0,*,<= 5.0,85,54.5,*,<= 5.0,15,9.6,39,25.0,95,60.9,88,56.4,27,17.3,28,17.9,26,16.7,111,71.2,20221114
2022,01,Allegany,A,All Allegany Schools,564,*,>= 95.0,*,<= 5.0,229,40.6,99,17.6,67,11.9,97,17.2,272,48.2,266,47.2,85,15.1,72,12.8,57,10.1,350,62.1,20221114
2022,02,Anne Arundel,1033,Glen Burnie High,462,*,>= 95.0,*,<= 5.0,284,61.5,*,<= 5.0,100,21.6,66,14.3,192,41.6,192,41.6,52,11.3,39,8.4,37,8.0,214,46.3,20221114
2022,02,Anne Arundel,1274,Marley Glen School,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20221114
2022,02,Anne Arundel,1323,North County High,496,*,>= 95.0,*,<= 5.0,369,74.4,*,<= 5.0,49,9.9,101,20.4,317,63.9,174,35.1,87,17.5,39,7.9,87,17.5,227,45.8,20221114
2022,02,Anne Arundel,2013,Severna Park High,443,*,>= 95.0,*,<= 5.0,402,90.7,*,<= 5.0,27,6.1,235,53.0,345,77.9,282,63.7,127,28.7,97,21.9,236,53.3,338,76.3,20221114
2022,02,Anne Arundel,2023,Northeast High,300,*,>= 95.0,*,<= 5.0,222,74.0,20,6.7,52,17.3,39,13.0,144,48.0,137,45.7,33,11.0,*,<= 5.0,37,12.3,146,48.7,20221114
2022,02,Anne Arundel,2233,Anne Arundel Evening High,108,*,>= 95.0,*,<= 5.0,64,59.3,11,10.2,*,<= 5.0,*,<= 5.0,26,24.1,12,11.1,*,<= 5.0,*,<= 5.0,*,<= 5.0,7,6.5,20221114
2022,02,Anne Arundel,2273,Chesapeake High,331,*,>= 95.0,*,<= 5.0,250,75.5,22,6.6,28,8.5,68,20.5,192,58.0,157,47.4,43,13.0,*,<= 5.0,62,18.7,194,58.6,20221114
2022,02,Anne Arundel,2363,Broadneck High,532,*,>= 95.0,*,<= 5.0,456,85.7,27,5.1,35,6.6,183,34.4,345,64.8,298,56.0,125,23.5,*,<= 5.0,163,30.6,367,69.0,20221114
2022,02,Anne Arundel,3013,Arundel High,530,*,>= 95.0,*,<= 5.0,462,87.2,*,<= 5.0,41,7.7,112,21.1,292,55.1,294,55.5,43,8.1,*,<= 5.0,122,23.0,339,64.0,20221114
