School,School Name,Percent
0301,Flintstone Elementary,0.943127962085308
0401,South Penn Elementary,0.724
0402,John Humbird Elementary,0.6962025316455697
0405,Fort Hill High,0.8429003021148036
0406,Washington Middle,0.8429752066115702
0502,Northeast Elementary,0.8381294964028777
0504,Braddock Middle,0.8162251655629139
0601,Center for Career & Technical Education,0.9338842975206612
0603,West Side Elementary,0.7722772277227723
0606,Allegany High,0.8344640434192673
0701,Cresaptown Elementary,0.8657243816254417
0702,Bel Air Elementary,0.9521531100478469
0801,Westernport Elementary,0.9264705882352942
0802,Westmar Middle,0.9439655172413793
1001,George's Creek Elementary,0.9767441860465116
1101,Frost Elementary,0.9210526315789473
1301,Mount Savage Middle,0.924812030075188
1302,Mt. Savage Elementary,0.949748743718593
2404,Mountain Ridge High School,0.929427430093209
2801,Beall Elementary,0.8595744680851064
2901,Cash Valley Elementary,0.8035087719298246
2902,Parkside Elementary,0.7951219512195122
A,All Allegany Schools,0.8594441711756026
1023,Brooklyn Park Middle,0.38968824940047964
1033,Glen Burnie High,0.35020519835841313
1043,Corkran Middle School,0.3338607594936709
1053,Lindale Middle,0.3991561181434599
1063,Marley Middle,0.32872340425531915
1082,Belle Grove Elementary,0.35294117647058826
1092,Brooklyn Park Elementary,0.34328358208955223
1102,Ferndale Early Education Center,0.32038834951456313
1112,George T. Cromwell Elementary,0.44936708860759494
1122,Freetown Elementary,0.25918762088974856
1132,Glendale Elementary,0.39948453608247425
1142,Hilltop Elementary,0.22645290581162325
1152,Linthicum Elementary,0.6855203619909502
1162,Marley Elementary,0.2565789473684211
1172,North Glen Elementary,0.2692307692307692
1182,Oakwood Elementary,0.37047353760445684
1192,Overlook Elementary,0.4984709480122324
1202,Park Elementary,0.2900763358778626
1212,Point Pleasant Elementary,0.5599128540305011
1232,Quarterfield Elementary,0.2895927601809955
1242,Richard Henry Lee Elementary,0.36134453781512604
1262,Woodside Elementary,0.32727272727272727
1274,Marley Glen School,0.5130434782608696
1323,North County High,0.39165985282093213
2013,Severna Park High,0.7988133764832794
2023,Northeast High,0.7022350396539293
2033,Northeast Middle,0.6533018867924528
2043,Severna Park Middle,0.8013888888888889
2052,Arnold Elementary,0.7490421455938697
2062,Belvedere Elementary,0.7300970873786408
2072,Benfield Elementary,0.8292682926829268
2082,Bodkin Elementary,0.8694779116465864
2092,Cape St. Claire Elementary,0.7558922558922558
2102,Folger Mckinsey Elementary,0.8367003367003367
2112,Fort Smallwood Elementary,0.8972162740899358
2132,High Point Elementary,0.6509863429438544
2142,Jacobsville Elementary,0.7724770642201835
2152,Jones Elementary,0.7440273037542662
2162,Lake Shore Elementary,0.8584905660377359
2172,Oak Hill Elementary,0.810064935064935
2182,Pasadena Elementary,0.7705382436260623
2192,Riviera Beach Elementary,0.8074074074074075
2202,Severna Park Elementary,0.7946666666666666
2212,Solley Elementary,0.5816901408450704
